ID,Name,website,phone,address,postcode,type,language
21,The Royal Melbourne Hospital,https://www.thermh.org.au/,(03) 9342 7000,"300 Grattan St, Parkville VIC 3050",3050,Hospital and GP,English
22,St. Vincent's Public Hospital Melbourne,https://svhm.org.au/,(03) 9231 2211,"41 Victoria Parade, Fitzroy VIC 3065",3065,Hospital and GP,English
23,Melbourne Private Hospital,https://melbourneprivatehospital.com.au/,(03) 8341 3400,"1F Royal Parade, Parkville VIC 3052",3052,Hospital and GP,English
24,Sunbury Day Hospital,http://www.westernhealth.org.au/OurSites/SunburyDayHospital/Pages/default.aspx,(03)97328600,"7 Macedon St, Sunbury VIC 3429",3429,Hospital and GP,English
25,The Royal Women's Hospital,http://thewomens.org.au/,(03) 8345 2000,"20 Flemington Rd, Parkville VIC 3052",3052,Hospital and GP,English
26,Grantham Street General Practice,http://www.gsgp.com.au/,(03) 9380 1384,"69 Grantham St, Brunswick West VIC 3055",3055,Hospital and GP,English
27,Myhealth M-City Clayton,https://myhealth.net.au/m-city-clayton/,(03) 8842 3834,"Shop T.50A Mezzanine Level, M-City, 2107-2125 Dandenong Rd, Clayton VIC 3168",3168,Hospital and GP,English
28,Medical One - QV,https://www.medicalone.com.au/centre/medical-one-qv,(03) 8663 7000,"3 23 QV Terrace, 292 Swanston St, Melbourne VIC 3000",3000,Hospital and GP,English
29,Doctors On Centre,https://qualitashealth.com.au/our-practices/doctors-on-centre/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page,(03) 9543 5966,"1371 Centre Rd, Clayton VIC 3168",3168,Hospital and GP,English
30,Hampstead Medical,http://hampsteadmedical.com.au/,(03)93184322,"5/44 Hampstead Rd, Maidstone VIC 3012",3012,Hospital and GP,English
31,Royal Freemasons Monash Gardens,https://www.royalfreemasons.org.au/care/residential-care/locations/monash-gardens.html,(03) 9574 3800,"comma, 355 Wellington Rd, Mulgrave VIC 3170",3170,Nursing Homes,English
32,Chomley House Aged Care Facility,https://www.heritagecare.com.au/our-homes/chomley-house/,(03) 9529 8107,"113 Chomley St, Prahran VIC 3181",3181,Nursing Homes,English
33,Riverside House,https://www.svhm.org.au/health-professionals/community-and-aged-care/aged-care-facilities/riverside-house,(03) 9231 0970,"2 River St, Richmond VIC 3121",3121,Nursing Homes,English
34,South Port Residential Home,https://caspacare.org.au/our-homes/south-port/,(03) 9134 2000,"18-30 Richardson St, Albert Park VIC 3206",3206,Nursing Homes,English
35,Cambridge House,https://www.svhm.org.au/health-professionals/community-and-aged-care/aged-care-facilities/cambridge-house,(03) 9231 0900,"3 Cambridge St, Collingwood VIC 3066",3066,Nursing Homes,English
36,Uniting Op Shop Prahran,https://www.unitingvictas.org.au/locations/opshop-prahran-211-chapel-street/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(03)90511418,"211 Chapel St, Prahran VIC 3181",3181,Charity Shops,English
37,Save the Children Op Shop - Windsor,https://www.savethechildren.org.au/Get-Involved/Op-shops?currentSort=,(03)58226712,"59-61 Chapel St, Windsor VIC 3181",3181,Charity Shops,English
38,Sacred Heart Mission,N/A,(03)95275778,"415 Inkerman St, St Kilda East VIC 3183",3183,Charity Shops,English
39,Australian Red Cross,https://www.redcross.org.au/support-us/red-cross-shops,(03)85252089,"188 Commercial Rd, Prahran VIC 3181",3181,Charity Shops,English
40,mecwacare Windsor Opportunity Shop,https://www.mecwacare.org.au/services/opportunity-shops/windsor-opportunity-shop/,(03)85734675,"52 Chapel St, Windsor VIC 3181",3181,Charity Shops,English
41,Brotherhood of St. Laurence City,http://stores.bsl.org.au/our-locations/city-basement/,(03)96503011,"Royal Arcade Basement, 335 Bourke St, Melbourne VIC 3000",3000,Charity Shops,English
42,Salvos Stores Southern Cross,https://www.salvosstores.com.au/stores/vic/3000-southern_cross-968,0487 712 619,"669 Bourke St, Melbourne VIC 3000",3000,Charity Shops,English
43,Australian Red Cross South Melbourne,https://www.redcross.org.au/support-us/red-cross-shops,(03)96963458,"336 Clarendon St, South Melbourne VIC 3205",3205,Charity Shops,English
44,South Melbourne Community Chest Op Shop,http://southmelbournecommunitychest.org.au/,(03)96996839,"200 Bank St, South Melbourne VIC 3205",3205,Charity Shops,English
45,Hunter Gatherer City,http://stores.bsl.org.au/our-locations/city-hg/,(03)96501843,"Royal Arcade Ground Level, 335 Bourke St, Melbourne VIC 3000",3000,Charity Shops,English
46,Ethnic Communities' Council of Victoria (ECCV),https://eccv.org.au/,(03)93549555,"Suite 101/398 Sydney Rd, Coburg VIC 3058",3058,Local Communities,English
47,Darebin Ethnic Communities Council,http://decc.org.au/,(03)94783737,"Unit 1/59A Roseberry Ave, Preston VIC 3072",3072,Local Communities,English
48,Diverse Communities and Social Services Australia Inc.,http://www.dcssaustralia.org/,N/A,N/A,N/A,Local Communities,English
49,Australian Oromo Community Association in Victoria Inc,N/A,(03)96639092,"225 Bourke St, Melbourne VIC 3000",3000,Local Communities,English
50,Cultivating Community,https://www.cultivatingcommunity.org.au/,N/A,"106 Elizabeth St, Richmond VIC 3121",3121,Local Communities,English
51,EB Games / ZiNG Pop Culture - Barkly Square,https://www.ebgames.com.au/,0498 288 582,"SHOP 32 BARKLY SQUARE, 90 - 106 Sydney Rd, Brunswick VIC 3056",3056,Game Night at the Couch,English
52,JB Hi-Fi Chadstone Shopping Centre,https://www.jbhifi.com.au/pages/chadstone-shopping-centre?utm_source=localmaps&utm_medium=organic&utm_campaign=chadstone-shopping-centre,(03)95164300,"Chadstone Shopping Centre M011, Lower Level M011, 1341 Dandenong Rd, Chadstone VIC 3148",3148,Game Night at the Couch,English
53,EB Games - Melbourne Central,https://www.ebgames.com.au/,(03)96395399,"Shop 062 Melbourne Central Shopping Centre Cnr La Trobe &, Swanston St, Melbourne VIC 3000",3000,Game Night at the Couch,English
54,Mind Games,http://www.mindgamesmelbourne.com/,(03)96632828,"145 Swanston St, Melbourne VIC 3000",3000,Game Night at the Couch,English
55,Games World Highpoint,https://www.gamesworld.com.au/,(03)93170977,"Shop 2056 Highpoint Shopping Centre, 120-200 Rosamond Rd, Maribyrnong VIC 3032",3032,Game Night at the Couch,English
56,Games World Werribee,https://www.gamesworld.com.au/,(03)97484200,"Shop 11, Pacific Werribee, Cnr Derrimut Rd &, Heaths Rd, Werribee VIC 3030",3030,Game Night at the Couch,English
57,ZEN Gaming Lounge,https://zen.gl/,(03)85470000,"280 City Rd, Southbank VIC 3006",3006,Game Night at the Couch,English
58,Genesis Internet Cafe,https://www.gic-esports.com.au/,(03)86390165,"Level 3/261 Little Lonsdale St, Melbourne VIC 3000",3000,Game Night at the Couch,English
59,Galaxy Sonic Internet Cafe,http://www.facebook.com/galaxysonicgaming,N/A,"shop105t, 22 Rose Ln, Melbourne VIC 3000",3000,Game Night at the Couch,English
60,GIC E-sports iCafe,http://www.gic-esports.com.au/,(03)86399069,"15 Sutherland St, Melbourne VIC 3000",3000,Game Night at the Couch,English
61,Melbourne Fight Club - Martial Arts Academy,http://www.melbmartialarts.com.au/,(03)96205433,"9&10/367 Flinders St, Melbourne VIC 3000",3000,Fight Club,English
62,Tsar Fight Club,http://www.tsarfc.com.au/,0410 195 205,"29 Knight Ave, Sunshine North VIC 3020",3020,Fight Club,English
